STA_SEQ,SampYr1,SampYr2,BCGYr1,BCGYr2,BugYr1,BugYr2,BugDiff,YrDiff,BCGDiff,ABSBugDiff,Grp
14314,2014,1994,3,2,0.37280701754386,0.530386740331492,-0.157579722787632,20,1,0.157579722787632,Yr20
14314,2014,2005,3,3,0.37280701754386,0.352331606217617,0.020475411326243,9,0,0.020475411326243,Yr5
14314,2005,1994,3,2,0.352331606217617,0.530386740331492,-0.178055134113875,11,1,0.178055134113875,Yr10
