"Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","TimeP","N","5%","95%","stdev"
-3,0,0,0.11808910359635,0,3,"5 Yrs",1863,-1,1,0.760893108710647
-2,0,0,-0.136,0,2,"20-30 Yrs",125,-1,0.799999999999997,0.558569601750758
-2,0,0,-0.0211267605633803,0,3,"10-20 Yrs",568,-1,1,0.709902841146693
-1,0,0,0.177339901477833,0,3,"5-10 Yrs",406,-1,2,0.745739383023047
