"Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","TimeP","N","5%","95%","stdev"
-0.461348232276974,0,0,0.0352703841299198,0.0954273155171743,0.625902864259029,"5 Yrs",1863,-0.158291909469567,0.248957995857002,0.128362241929041
-0.428241808952469,0.078301428432611,0.226906133514063,0.199947067847786,0.315232397606995,0.791118657037639,"20-30 Yrs",125,-0.0936630923555863,0.451737247456086,0.190873410936753
-0.581937799043062,0.00327410005743607,0.11413586961578,0.11441877403679,0.236433128433406,0.6639996734294,"10-20 Yrs",568,-0.182903949157619,0.38567948422453,0.181656509958667
-0.632808657156911,-0.0326093466365199,0.0744394413695443,0.0712948572887212,0.1828125,0.748029697315819,"5-10 Yrs",406,-0.258202308360866,0.365176192042169,0.188062515936922
