"Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","TimeP","N","5%","95%","stdev"
-0.470261437908497,-0.121533645246892,-0.0186109424428356,-0.0240817152814648,0.0710231271995978,0.430138888888889,"5 Yrs",774,-0.261989993559121,0.216210657968496,0.145303835725276
-0.495741237031337,-0.249425576426778,-0.111687116564417,-0.135360303968615,-0.0243414998849782,0.212763211269683,"20-30 Yrs",51,-0.416173388691182,0.109850505156373,0.168442675204144
-0.549995017438964,-0.24457041242461,-0.133309563574359,-0.125615421218535,-0.000553382379546774,0.316973995271868,"10-20 Yrs",384,-0.411747101221892,0.159975076285395,0.168924660989576
-0.569262169609144,-0.177108568196231,-0.0542668171984254,-0.0587117451803932,0.048068640596094,0.393170731707317,"5-10 Yrs",326,-0.303876078876079,0.19796415820531,0.164170087487485
