"Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","TimeP","N","5%","95%","stdev"
-0.742961188777007,-0.0449732279000571,0,-0.0236095359569211,0.00504273414252265,0.516325472920446,"5 Yrs",1863,-0.307328627961024,0.199573757200995,0.148113865021104
-0.844373236405376,-0.382183908045977,-0.236647922746578,-0.232570412509122,-0.114157547473447,0.505737578834025,"20-30 Yrs",125,-0.502710500664446,0.141893018603941,0.22200264133883
-0.744824971565778,-0.300834558812313,-0.139665497703761,-0.13795176153525,0.00655956774071546,0.637276878372769,"10-20 Yrs",568,-0.520917544211572,0.218964140444942,0.228513500997689
-0.799371787549972,-0.233887297306388,-0.0896255151276764,-0.0960373941667468,0.0335636291645388,0.690879235706822,"5-10 Yrs",406,-0.430371550833241,0.259595978831145,0.215400897384234
