DEEPTaxaID,finalID,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,SPECIES,FFG,SensitiveEPT,BCG_Attribute
236,Hybomitra ,Arthropoda,Insecta,Diptera,Tabanidae,Na,Na,Hybomitra,Na,PRD,0,
237,Hydroporinae,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Na,Na,Na,PRD,0,
238,Hydropsyche phalerata,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Na,Na,Hydropsyche,phalerata,C-F,0,5
239,Limnodrilus claparedianus,Annelida,Clitellata,Haplotaxida,Tubificidae,Na,Na,Limnodrilus,claparedianus,C-G,0,5
240,Limnodrilus udekemianus,Annelida,Clitellata,Haplotaxida,Tubificidae,Na,Na,Limnodrilus,udekemianus,C-G,0,5
241,Liodessus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Na,Liodessus,Na,PRD,0,
242,Lioporeus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Na,Na,Lioporeus,Na,PRD,0,
243,Maccaffertium meririvulanum,Arthrpoda,Insecta,Ephemeroptera,Heptageniidae,Na,Na,Maccaffertium,meririvulanum,SCR,1,4
244,Macromia,Arthropoda,Insecta,Odonata,Macromiidae,Na,Na,Macromia,Na,PRD,0,
245,Macromiinae,Arthropoda,Insecta,Odonata,Macromiinae,Na,Na,Na,Na,PRD,0,
246,Manayunkia speciosa,Annelida,Polychaeta,Canalipalpata,Sabellidae,Na,Na,Manayunkia,speciosa,C-G,0,
247,Metretopodidae,Arthropoda,Insecta,Ephemeroptera,Metretopodidae,Na,Na,Na,Na,C-G,1,
248,Metriocnemus,Na,Insecta,Diptera,Chironomidae,Orthocladinae,Na,Metriocnemus,Na,C-G,0,
249,Muscidae,Arthropoda,Insecta,Diptera,Muscidae,Na,Na,Na,Na,,0,
250,Nigronia,Arthropoda,Insecta,Megaloptera,Corydalidae,Na,Na,Nigronia,Na,PRD,0,3
251,Oecetis avara,Arthropoda,Insecta,Trichoptera,Leptoceridae,Na,Na,Oecetis,avara,PRD,1,4
252,Oribatei,Arthropoda,Arachnida,Sarcoptiformes,Na,Na,Na,Oribatei,Na,PRD,0,
253,Orthocladius (Euorthocladius) rivicola group,Arthropoda,Insecta,Diptera,Chironomidae,Na,Na,Orthocladius,rivicola group,C-G,0,4
254,Pachydiplax longipennis,Arthropoda,Insecta,Odonata,Libellulidae,Na,Na,Pachydiplax,longipennis,PRD,0,
255,Paranemoura perfecta,Arthropoda,Insecta,Plecoptera,Nemouridae,Na,Na,Paranemoura,perfecta,SHR,1,
