DEEPTaxaID,finalID,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,SPECIES,FFG,SensitiveEPT,BCG_Attribute
79,Micropsectra/Tanytarsus,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,Na,C-G,0,3
80,Microtendipes pedellus group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,pedellus,C-F,0,4
81,Microtendipes rydalensis group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,rydalensis,C-F,0,4
82,Mideopsis/Nudomideopsis magnacetabula,Arthropoda,Arachnida,Trombidiformes,Mideopsidae,Na,Na,Mideopsis,Na,PRD,0,4
83,Nanocladius branchicolus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Nanocladius,branchicolus,C-G,0,3
84,Nanocladius crassicornis,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Nanocladius,crassicornis,C-G,0,3
85,Nematoda,Nematoda,Na,Na,Na,Na,Na,Na,Na,?,0,
86,Nematomorpha,Nematomorpha,Na,Na,Na,Na,Na,Na,Na,PRD,0,
87,Nemertea,Nemertea,Na,Na,Na,Na,Na,Na,Na,PRD,0,
88,Neoporus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Na,Na,Hydroporus,Na,PRD,0,
89,Neostempellina,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Neostempellina,Na,C-G,0,
90,Neurocordulia yamaskanensis,Arthropoda,Insecta,Odonata,Corduliidae,Na,Na,Neurocordulia,yamaskanensis,PRD,0,
91,Ophiogomphus carolus,Arthropoda,Insecta,Odonata,Gomphidae,Na,Na,Ophiogomphus,carolus,PRD,0,2
92,Ophiogomphus rupinsulensis,Arthropoda,Insecta,Odonata,Gomphidae,Na,Na,Ophiogomphus,rupinsulensis,PRD,0,2
93,Orthocladius (Eudactylocladius) dubitatus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,dubitatus,C-G,0,4
94,Orthocladius (Euorthocladius),Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,Na,C-G,0,4
95,Orthocladius (Euorthocladius) rivicola,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,rivicola,C-G,0,4
96,Orthocladius (Euorthocladius) rivulorum,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,rivulorum,C-G,0,4
97,Orthocladius (Orthocladius),Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,Na,C-G,0,4
98,Orthocladius (Orthocladius) annectens,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,annectens,C-G,0,4
