DrainID,Strahler,HydroID,StrMi,SqMi,0,1,2,3,4,5,6,Sum,Str_Drain
102002922,1,102002922,0.19,0.01,31,0,11,3,3,0,0,48,14444
102002923,3,102002923,10.62,4.737327,3,0,2,6,2,0,0,13,14444
102002924,1,102002924,0.54,0.1,13,0,49,0,0,214,0,276,14444
102002926,1,102002926,0.33,0.07,125,96,0,0,0,0,0,221,14444
102002928,3,102002928,11.47,5.047327,302,39,324,69,28,30,68,860,14444
102002930,2,102002930,2.33,0.87,41,3,39,34,0,0,218,335,14444
102002933,1,102002933,0.54,0.17,138,79,160,21,4,82,0,484,14444
102002938,2,102002938,1.1,0.308361,11,0,41,26,0,89,0,167,14444
102002946,2,102002946,1.83,0.58,163,56,7,0,0,0,0,226,14444
102002947,1,102002947,0.15,0.03,8,0,15,48,1,18,0,90,14444
102002951,3,102002951,6.83,2.94,45,0,0,0,0,0,72,117,14444
102002952,1,102002952,1.75,1.3,1231,117,1240,100,249,0,684,3621,14444
102002953,2,102002953,1.27,0.63,52,0,0,0,1,0,65,118,14444
102002954,3,102002954,13.33,5.757327,52,1,165,23,13,0,185,439,14444
102002957,2,102002957,4.21,2.03,122,32,97,0,0,0,192,443,14444
102002965,1,102002965,0.07,0.008361,15,0,7,0,0,1,0,23,14444
102002969,1,102002969,0.6,0.37,55,0,41,0,0,0,950,1046,14444
102002970,1,102002970,0.46,0.22,1,0,0,0,0,0,631,632,14444
102002974,1,102002974,1.41,0.56,227,17,333,49,0,0,948,1574,14444
102002982,1,102002982,0.27,0.12,0,0,0,0,0,0,351,351,14444
102002983,1,102002983,0.28,0.05,0,0,0,0,0,0,153,153,14444
102003007,1,102003007,0.78,0.35,168,8,289,31,0,97,386,979,14444
102003008,1,102003008,0.66,0.22,110,1,47,6,0,0,462,626,14444
103001075,1,103001075,0.04,0.04,0,0,0,0,0,0,139,139,16139
103001078,1,103001078,0.05,0.01,0,0,0,0,0,0,49,49,16139
103001085,1,103001085,0.13,0.019684921,0,0,0,0,0,0,24,24,16139
103001086,1,103001086,0.11,0.048232181,0,0,0,0,0,0,22,22,16139
103001089,2,103001089,0.3,0.077917102,0,0,0,0,0,0,41,41,16139
103001104,2,103001104,0.39,0.117917102,0,0,0,0,0,0,112,112,16139
103001114,1,103001114,0.52,0.12,0,0,0,0,0,0,132,132,16139
103001121,1,103001121,0.34,0.08,0,0,0,0,0,0,41,41,16139
103001122,1,103001122,0.24,0.07,0,0,0,0,0,0,219,219,16139
103001129,1,103001129,0.68,0.23,24,1,77,0,0,0,205,307,16139
103001140,1,103001140,0.83,0.31,2,0,15,0,0,0,233,250,16139
103001151,2,103001151,0.61,0.157917102,0,0,0,0,0,0,119,119,16139
103001152,1,103001152,0.92,0.38,25,1,51,0,0,0,137,214,16139
103001167,2,103001167,0.71,0.257917102,11,0,0,0,0,0,284,295,16139
103001178,1,103001178,1.21,0.44,37,3,48,0,0,0,105,193,16139
103001183,2,103001183,0.86,0.287917102,8,0,0,0,0,0,96,104,16139
103001187,1,103001187,0.3,0.07,0,0,0,0,0,0,202,202,16139
103001191,2,103001191,0.97,0.377917102,22,0,0,0,0,0,261,283,16139
103001217,1,103001217,0.15,0.12,0,0,0,0,0,0,336,336,16139
103003992,2,103003992,1.76,0.60408316,0,0,0,0,0,0,127,127,16139
103003999,2,103003999,1.83,0.62408316,0,0,0,0,0,0,60,60,16139
103004005,2,103004005,2.766369187,0.939958673,0,0,0,0,0,0,7,7,16139
103004006,1,103004006,0.866369187,0.310129132,0,0,0,0,0,0,104,104,16139
103004007,1,103004007,0.916369187,0.312388955,0,0,0,0,0,0,8,8,16139
103004021,1,103004021,0.3,0.1,0,0,0,0,0,0,290,290,16139
103004025,2,103004025,2.906369187,0.969958673,0,0,0,0,0,0,81,81,16139
103004027,1,103004027,0.07,0.08,15,0,31,0,0,0,190,236,16139
103004028,2,103004028,2.73,0.96,0,0,0,0,0,0,1274,1274,16139
103004029,3,103004029,14.206369187,4.843330349,0,0,0,0,0,0,196,196,16139
103004030,1,103004030,0.08,0.080225983,0,0,0,0,0,0,2,2,16139
103004038,1,103004038,0.71,0.12,0,0,0,0,0,0,290,290,16139
103004041,1,103004041,0.98,0.3,1,0,0,0,0,0,284,285,16139
103004042,2,103004042,3.006369187,0.979958673,1,0,0,0,0,0,51,52,16139
103004043,3,103004043,8.736369187,3.113330349,3,0,0,0,0,0,0,3,16139
103004044,3,103004044,9.846369187,3.443330349,4,0,0,0,0,0,73,77,16139
103004047,1,103004047,1.17,0.502258548,2,0,0,0,0,0,3,5,16139
103004048,1,103004048,0.5,0.12,0,0,0,3,0,0,68,71,16139
103004049,3,103004049,11.226369187,3.823330349,0,0,0,0,0,0,750,750,16139
103004054,1,103004054,0.54,0.126166071,1,0,0,8,0,0,4,13,16139
103004055,1,103004055,0.57,0.127199131,2,1,0,0,0,0,0,3,16139
103004056,1,103004056,0.07,0.02,0,0,0,0,0,0,75,75,16139
103004060,1,103004060,0.08,0.02051653,0,0,0,0,0,0,3,3,16139
103004061,3,103004061,7.296369187,2.389585512,10,0,0,4,0,0,131,145,16139
103004065,3,103004065,6.536369187,2.212386381,4,0,0,9,0,0,27,40,16139
103004068,1,103004068,0.11,0.024035385,0,0,0,0,0,0,9,9,16139
103004070,3,103004070,8.726369187,3.112200437,64,0,0,0,2,0,838,904,16139
103004076,1,103004076,0.15,0.034035385,0,0,0,0,0,0,48,48,16139
103004078,3,103004078,6.446369187,2.202386381,0,0,0,0,0,0,7,7,16139
103004080,2,103004080,4.336369187,1.522217221,4,0,0,0,0,0,102,106,16139
103004082,3,103004082,6.376369187,2.189739172,0,0,0,0,0,0,1,1,16139
103004083,3,103004083,6.416369187,2.199739172,0,0,0,0,0,0,33,33,16139
103004084,1,103004084,1.14,0.500999501,3,0,0,32,0,0,336,371,16139
103004085,1,103004085,0.18,0.042267566,0,0,0,0,0,0,22,22,16139
103004091,1,103004091,0.75,0.370999501,0,0,0,0,0,0,27,27,16139
103004093,1,103004093,0.24,0.050144633,0,0,0,0,0,0,23,23,16139
103004094,3,103004094,14.796369187,5.253556332,124,3,291,31,65,34,377,925,16139
103004095,3,103004095,8.546369187,2.792200437,3,0,0,0,0,0,70,73,16139
103004098,3,103004098,7.516369187,2.459585512,58,0,0,0,0,0,165,223,16139
103004101,1,103004101,0.26,0.054857957,0,0,0,0,0,0,14,14,16139
103004104,3,103004104,8.426369187,2.772200437,6,0,0,0,0,0,1,7,16139
103004105,1,103004105,0.69,0.361153155,0,0,0,0,0,0,263,263,16139
103004108,1,103004108,0.58,0.271153155,0,0,0,0,0,0,50,50,16139
103004113,3,103004113,7.966369187,2.639585512,14,0,0,0,0,0,70,84,16139
103004116,1,103004116,0.42,0.13,18,0,0,0,0,0,93,111,16139
103004120,1,103004120,0.51,0.261153155,0,0,0,0,0,0,18,18,16139
103004124,1,103004124,0.47,0.254857957,0,0,0,0,0,0,584,584,16139
103004125,3,103004125,7.846369187,2.609585512,0,0,0,0,0,0,55,55,16139
103004127,3,103004127,7.766369187,2.599585512,0,0,0,0,0,0,390,390,16139
103004128,1,103004128,0.29,0.1,0,0,0,0,0,0,45,45,16139
103004132,2,103004132,2.02,0.667328257,12,0,0,0,0,0,345,357,16139
103004137,1,103004137,0.2,0.09,0,0,0,0,0,0,274,274,16139
103004152,2,103004152,1.77,0.547328257,0,0,0,0,0,0,100,100,16139
103004158,1,103004158,0.93,0.377328257,0,0,0,0,0,0,44,44,16139
103004162,1,103004162,0.84,0.367328257,0,0,0,0,0,0,18,18,16139
103004177,1,103004177,0.63,0.14,0,0,0,0,0,0,134,134,16139
103004221,1,103004221,0.07,0.02,0,0,0,0,0,0,63,63,16139
103004231,1,103004231,0.49,0.21,3,0,0,3,0,0,253,259,16139
103004235,1,103004235,0.496369187,0.210129132,0,0,0,0,0,0,3,3,16139
103004236,1,103004236,0.34,0.2,0,0,0,0,0,0,571,571,16139
103004237,2,103004237,1.42,0.547917102,5,0,0,0,0,0,490,495,16139
103004238,1,103004238,0.02,0.006166058,0,0,0,0,0,0,16,16,16139
103004243,1,103004243,0.12,0.016166058,0,0,0,0,0,0,29,29,16139
103004253,1,103004253,0.656369187,0.280129132,4,0,0,0,0,0,207,211,16139
103004318,2,103004318,2.63,0.675391269,3,0,8,0,0,0,1,12,14450
103004319,2,103004319,2.6,0.670742508,6,1,20,0,0,0,84,111,14450
103004320,2,103004320,1.86,0.623122443,129,2,69,7,43,0,0,250,14450
103004322,1,103004322,0.17,0.066714877,6,0,11,0,0,0,0,17,14450
103004326,2,103004326,2.13,0.95505168,40,0,103,0,96,0,41,280,14450
103004328,1,103004328,0.19,0.071202215,6,0,10,0,2,0,0,18,14450
103004332,1,103004332,0.12,0.02,42,0,19,0,0,0,0,61,14450
103004336,2,103004336,2.28,0.99505168,15,0,0,10,0,0,88,113,14450
103004337,2,103004337,0.58,0.120338315,28,5,32,0,17,0,0,82,14450
103004339,1,103004339,0.02,0.004261368,7,0,0,0,0,5,0,12,14450
103004340,1,103004340,0.027817334,0.004616482,0,0,0,0,0,1,0,1,14450
103004343,1,103004343,0.17,0.2,192,1,225,77,12,63,0,570,14450
103004345,1,103004345,0.46,0.06,0,0,5,0,0,0,86,91,14450
103004346,1,103004346,0.057817334,0.094616482,19,0,27,4,0,223,0,273,14450
103004347,1,103004347,0.42,0.16,201,38,77,14,3,0,126,459,14450
103004351,1,103004351,0.16,0.1,40,0,67,76,2,104,0,289,14450
103004354,2,103004354,0.63,0.230338315,25,8,51,0,252,0,0,336,14450
103004361,1,103004361,0.137817334,0.104301397,9,0,0,0,0,17,0,26,14450
103004362,3,103004362,19.704369222,6.6471526977,26,0,33,0,0,31,73,163,14450
103004365,1,103004365,0.34,0.091202215,27,0,36,0,12,0,0,75,14450
103004366,3,103004366,19.852186556,6.7526162887,3,0,1,0,0,0,0,4,14450
103004367,1,103004367,0.46,0.17,0,0,3,0,0,0,43,46,14450
103004368,1,103004368,0.5,0.062324378,0,0,0,0,0,0,6,6,14450
103004387,2,103004387,3.76,1.547110011,11,0,14,0,8,0,0,33,14450
103004388,1,103004388,0.64,0.19,0,0,5,0,0,294,0,299,14450
103004389,2,103004389,2.667399932,0.840015507,37,7,25,0,0,0,0,69,14450
103004395,2,103004395,1.88,0.450298288,87,9,68,1,0,83,0,248,14450
103004396,6,103004396,292.609712986,104.665508935,177,47,153,15,117,5,0,514,14450
103004398,2,103004398,4.397399932,1.888126309,0,0,2,4,44,0,0,50,14450
103004399,1,103004399,1.68,1.038110802,5,0,21,0,68,0,0,94,14450
103004410,2,103004410,1.92,0.451718741,4,0,0,0,0,0,0,4,14450
103004418,6,103004418,292.649712986,104.675508935,3,3,0,1,28,0,0,35,14450
103004419,2,103004419,1.927208595,0.4517833077,2,0,0,0,0,0,0,2,14450
103004459,1,103004459,0.76,0.21,0,0,20,0,0,55,0,75,14450
103004473,1,103004473,0.26,0.25,563,31,113,0,3,0,8,718,14450
103004477,1,103004477,0.37,0.14,36,0,98,1,26,3,2,166,14450
103004478,1,103004478,0.04,0.09,23,0,87,3,140,20,0,273,14450
103004480,1,103004480,0.28,0.258329032,11,0,9,0,0,0,2,22,14450
103004510,6,103004510,304.926330084,108.925805951,29,0,0,25,0,0,224,278,14450
103004542,1,103004542,0.6,0.11,6,0,3,44,0,0,117,170,14450
103004551,1,103004551,0.44,0.23,219,2,166,34,94,0,134,649,14450
103004557,1,103004557,0.46,0.24,19,0,4,2,5,0,0,30,14450
103004558,1,103004558,0.69,0.13,21,0,2,26,0,0,30,79,14450
103004565,1,103004565,0.47,0.2439708,7,1,2,2,5,0,0,17,14450
103004579,1,103004579,0.49,0.246876283,6,0,0,0,0,0,0,6,14450
103004584,1,103004584,0.5,0.24768336,4,0,0,0,0,0,0,4,14450
103004702,1,103004702,0.23,0.11,0,0,0,6,0,0,306,312,14450
103004706,1,103004706,0.29,0.1,0,0,0,0,0,0,300,300,16139
103004767,1,103004767,0.83,0.36,23,0,0,0,0,0,988,1011,16139
103004989,1,103004989,0.08,0.03,5,0,14,2,0,0,74,95,14450
103005000,1,103005000,0.16,0.0353267,0,0,9,0,0,0,6,15,14450
103005002,1,103005002,0.33,0.12,0,0,0,0,0,0,30,30,14450
103005010,1,103005010,0.35,0.120742511,0,0,0,0,0,0,2,2,14450
103005011,1,103005011,0.18,0.036488896,0,0,2,0,0,0,1,3,14450
103005013,1,103005013,0.78,0.299846337,4,0,2,14,0,0,18,38,14450
103005015,1,103005015,0.82,0.301557338,0,0,5,0,0,0,0,5,14450
103005016,2,103005016,0.55,0.157586521,0,0,1,0,0,0,0,1,14450
103005017,1,103005017,0.68,0.289846337,2,0,3,7,0,0,16,28,14450
103005020,1,103005020,0.47,0.25,171,0,105,0,0,0,442,718,14450
103005021,1,103005021,0.64,0.28,4,1,14,0,0,0,71,90,14450
103005028,1,103005028,0.18,0.05,42,0,64,35,0,0,18,159,14450
103005038,2,103005038,1.5,0.519143859,72,1,51,43,2,0,14,183,14450
103005081,2,103005081,1.73,0.559143859,41,3,59,8,1,0,12,124,14450
103005083,1,103005083,0.52,0.16,119,11,130,0,0,0,77,337,14450
103005085,2,103005085,1.76,0.560499742,0,0,0,0,0,0,2,2,14450
103005086,1,103005086,0.54,0.18,21,3,15,0,0,0,15,54,14450
103005104,2,103005104,2.4,0.840499742,67,2,119,43,18,0,47,296,14450
103005116,1,103005116,0.52,0.42,236,0,337,51,0,0,549,1173,14450
103005171,1,103005171,0.17,0.15,78,2,166,17,0,0,164,427,14450
103005172,2,103005172,2.62,0.960499742,32,0,23,29,0,0,272,356,14450
103005176,1,103005176,0.44,0.2,45,0,37,75,0,0,89,246,14450
103005177,1,103005177,0.84,0.58,179,1,125,9,0,11,135,460,14450
103005189,1,103005189,0.46,0.208619574,0,0,0,6,0,0,18,24,14450
103005197,1,103005197,0.23,0.158522727,12,0,10,0,0,0,0,22,14450
103005202,1,103005202,0.9,0.6,9,0,10,0,0,0,57,76,14450
103005206,1,103005206,0.55,0.278619574,0,0,0,2,0,0,200,202,14450
103005211,1,103005211,0.98,0.325140748,0,0,0,0,0,0,17,17,14450
103005212,2,103005212,2.74,0.980499742,0,0,4,2,0,0,69,75,14450
103005213,1,103005213,0.14,0.12,22,0,37,47,0,0,228,334,14450
103005214,1,103005214,0.9,0.318619574,0,0,0,0,0,0,126,126,14450
103005225,1,103005225,0.44,0.198522727,59,17,34,0,0,0,8,118,14450
103005235,1,103005235,1.04,0.67,120,0,19,0,1,0,53,193,14450
103005236,1,103005236,0.15,0.12,124,1,113,0,0,0,101,339,14450
103005238,2,103005238,3.83,1.31564049,0,0,0,0,0,0,42,42,14450
103005239,1,103005239,0.48,0.199975471,0,0,0,0,0,0,5,5,14450
103005257,1,103005257,0.1,0.09,33,0,43,50,0,0,145,271,14450
103005331,1,103005331,1.56,0.86,386,0,87,0,0,0,62,535,14450
103005336,1,103005336,1.565855523,0.8600645667,2,0,0,0,0,0,0,2,14450
103005345,1,103005345,0.42,0.2,86,0,107,63,5,0,53,314,14450
103005369,1,103005369,0.55,0.22,46,2,19,0,0,1,0,68,14450
103005373,2,103005373,4.89,1.965615961,136,12,49,0,0,0,1063,1260,14450
103005376,2,103005376,4.91,1.966939566,4,0,0,0,0,0,0,4,14450
103005377,1,103005377,0.59,0.222905469,5,0,0,0,0,3,0,8,14450
103005418,2,103005418,5.72,2.479845035,134,10,102,20,0,50,489,805,14450
103005463,2,103005463,5.9,2.529845035,35,0,29,0,0,90,0,154,14450
103005480,1,103005480,0.09,0.02,1,0,0,9,0,0,47,57,14450
103005489,1,103005489,2.155855523,1.4100645667,191,0,133,4,0,0,1208,1536,14450
103005491,1,103005491,0.83,0.44,360,8,245,81,0,252,304,1250,14450
103005492,1,103005492,0.12,0.022550366,3,0,0,4,0,0,0,7,14450
103005494,1,103005494,1.26,0.55,361,2,341,0,0,0,511,1215,14450
103005495,1,103005495,0.42,0.2,147,0,224,0,0,0,201,572,14450
103005496,1,103005496,0.88,0.442485795,3,0,0,0,0,3,0,6,14450
103005497,2,103005497,5.97,2.639845035,46,9,77,0,0,118,60,310,14450
103005498,1,103005498,0.88255096,0.4425180772,1,0,0,0,0,0,0,1,14450
103005499,1,103005499,0.55,0.3,7,0,0,0,0,0,826,833,14450
103005509,1,103005509,0.15,0.023518854,1,0,0,0,0,0,0,1,14450
