STA_SEQ,Station_Na,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,InState,Len_Miles
15015,Seth Williams Brook,3,11.339213,4.371559,0,0.43,12588,35290,0,2.803464,13.615284,0.196022,0.665308,0,3.394041,0,0,2,3,1,1,7,2,1,0.079
15711,Little River,4,56.797476,16.316835,3,0.36,46936,32121,0,0.684357423,13.53631441,0.967159364,0.55692,0,0.575830645,0,0.052819249,1,2,2,1,6,2,1,0.06
15512,Mountain Brook,3,5.03,2.011033,0,0,6012,2056,0,0.341982701,13.37694309,0.075688031,0,0,0,0,0,1,1,1,1,4,1,1,0.606
16276,Latimer Brook,4,18.487044,6.701364,4,46.1,19282,28155,0,1.46017,13.297877,0.325382,71.32724,0,219.21058,0,0.216368,1,3,3,1,8,2,1,0.103
14813,Blackberry River,4,27.11,13.53862349,7,0,40332,38187,0.35,0.946816424,13.20531414,0.761492714,0,0.541530028,0,0.711142756,0.258207304,1,1,3,2,7,2,1,0.153
15499,West Branch Salmon Brook,4,43.97,15.436728,1,0,46023,33795,0,0.73430676,12.40690125,0.865372616,0,0,0,0,0.022742779,1,1,2,1,5,1,1,0.194
16607,Deep River,3,9.644068,3.037211,1,0,8737,9009,0,1.031131967,12.16186052,0.119011071,0,0,0,0,0.103690683,1,1,3,1,6,2,1,0.094
15730,East Swamp Brook,3,11.04807955,3.856793667,1,0,11689,46227,0,3.954743776,12.06759676,0.158434541,0,0,0,0,0.090513468,2,1,2,1,6,2,1,0.41
16295,Latimer Brook,4,53.632515,17.769727,5,49.5,51128,122352,0,2.393053,11.957408,1.007728,76.587818,0,76.000509,0,0.093227,2,3,2,1,8,2,1,0.153
16692,Glade Brook,2,4.78686,2.053233,0,0,5914,2501,0,0.422895,11.797779,0.072861,0,0,0,0,0,1,1,1,1,4,1,1,1.103
