date,1118300,1121000,1123000,1125490,1187300,1188000,1193500,1194000,1194500,1195100,1208950,1208990,index,gagecnt
3/15/1989,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,9
3/16/1989,2,2,2,NA,2,2,2,NA,NA,3,2,2,2.111111111,9
3/17/1989,3,2,2,NA,2,2,2,NA,NA,3,2,2,2.222222222,9
3/18/1989,3,3,3,NA,3,3,2,NA,NA,3,3,3,2.888888889,9
3/19/1989,4,4,4,NA,3,3,4,NA,NA,4,4,4,3.777777778,9
3/20/1989,3,3,3,NA,2,2,3,NA,NA,3,3,3,2.777777778,9
3/21/1989,4,4,4,NA,2,3,4,NA,NA,4,4,4,3.666666667,9
3/22/1989,4,4,4,NA,1,3,4,NA,NA,4,4,4,3.555555556,9
3/23/1989,4,3,4,NA,1,3,3,NA,NA,4,3,3,3.111111111,9
3/24/1989,4,3,4,NA,2,3,4,NA,NA,4,5,4,3.666666667,9
3/25/1989,6,5,6,NA,3,6,5,NA,NA,6,6,5,5.333333333,9
3/26/1989,5,4,5,NA,4,4,4,NA,NA,5,5,4,4.444444444,9
3/27/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
3/28/1989,4,3,4,NA,4,4,4,NA,NA,4,4,4,3.888888889,9
3/29/1989,4,4,4,NA,4,4,3,NA,NA,4,4,4,3.888888889,9
3/30/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
3/31/1989,5,5,5,NA,4,5,5,NA,NA,5,5,5,4.888888889,9
4/1/1989,4,4,4,NA,4,5,5,NA,NA,5,5,5,4.555555556,9
4/2/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
4/3/1989,4,4,4,NA,4,4,4,NA,NA,4,5,4,4.111111111,9
4/4/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
4/5/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
4/6/1989,4,5,5,NA,6,5,4,NA,NA,5,5,5,4.888888889,9
4/7/1989,5,5,5,NA,5,4,5,NA,NA,5,5,5,4.888888889,9
4/8/1989,5,6,6,NA,4,4,6,NA,NA,7,5,5,5.333333333,9
4/9/1989,6,5,6,NA,4,4,5,NA,NA,7,5,5,5.222222222,9
4/10/1989,4,4,5,NA,4,4,5,NA,NA,5,5,5,4.555555556,9
4/11/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
4/12/1989,4,4,4,NA,4,3,4,NA,NA,4,4,4,3.888888889,9
4/13/1989,4,4,4,NA,3,3,4,NA,NA,4,4,4,3.777777778,9
4/14/1989,4,4,4,NA,3,4,4,NA,NA,4,4,4,3.888888889,9
4/15/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
4/16/1989,6,5,5,NA,5,6,6,NA,NA,5,5,5,5.333333333,9
4/17/1989,5,5,5,NA,4,5,5,NA,NA,5,5,5,4.888888889,9
4/18/1989,5,4,5,NA,4,4,4,NA,NA,5,4,5,4.444444444,9
4/19/1989,5,4,5,NA,4,4,4,NA,NA,4,4,5,4.333333333,9
4/20/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
4/21/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
4/22/1989,4,4,4,NA,4,3,4,NA,NA,4,4,4,3.888888889,9
4/23/1989,4,4,4,NA,4,3,4,NA,NA,4,4,4,3.888888889,9
4/24/1989,4,4,4,NA,3,3,4,NA,NA,4,4,4,3.777777778,9
4/25/1989,4,4,4,NA,3,3,4,NA,NA,4,3,4,3.666666667,9
4/26/1989,4,3,3,NA,3,3,4,NA,NA,4,3,3,3.333333333,9
4/27/1989,4,3,3,NA,3,3,3,NA,NA,4,3,3,3.222222222,9
4/28/1989,4,3,3,NA,3,3,3,NA,NA,3,3,3,3.111111111,9
4/29/1989,4,3,3,NA,4,2,3,NA,NA,4,3,4,3.333333333,9
4/30/1989,4,4,5,NA,4,4,5,NA,NA,6,5,4,4.555555556,9
5/1/1989,4,4,4,NA,4,3,4,NA,NA,5,5,4,4.111111111,9
5/2/1989,7,6,6,NA,7,7,6,NA,NA,6,7,6,6.444444444,9
5/3/1989,7,7,7,NA,6,6,6,NA,NA,6,7,6,6.444444444,9
5/4/1989,6,5,5,NA,5,4,5,NA,NA,5,6,5,5.111111111,9
5/5/1989,5,5,5,NA,5,4,5,NA,NA,4,5,5,4.777777778,9
5/6/1989,7,7,6,NA,7,7,7,NA,NA,6,7,7,6.777777778,9
5/7/1989,6,6,6,NA,6,6,6,NA,NA,5,6,7,6,9
5/8/1989,5,5,6,NA,6,5,6,NA,NA,5,6,7,5.666666667,9
5/9/1989,5,5,5,NA,5,5,5,NA,NA,5,5,7,5.222222222,9
5/10/1989,5,5,5,NA,6,6,5,NA,NA,5,6,6,5.444444444,9
5/11/1989,7,7,7,NA,7,7,7,NA,NA,6,7,7,6.888888889,9
5/12/1989,6,7,7,NA,6,6,6,NA,NA,6,6,6,6.222222222,9
5/13/1989,6,6,6,NA,6,6,6,NA,NA,6,6,6,6,9
5/14/1989,6,6,6,NA,5,5,6,NA,NA,5,5,5,5.444444444,9
5/15/1989,5,5,6,NA,5,6,5,NA,NA,5,5,5,5.222222222,9
5/16/1989,5,5,5,NA,6,7,6,NA,NA,5,7,6,5.777777778,9
5/17/1989,5,5,5,NA,6,7,6,NA,NA,5,7,7,5.888888889,9
5/18/1989,4,5,5,NA,5,6,5,NA,NA,5,7,7,5.444444444,9
5/19/1989,4,4,4,NA,5,6,5,NA,NA,5,6,6,5,9
5/20/1989,4,4,4,NA,4,5,5,NA,NA,4,6,6,4.666666667,9
5/21/1989,4,4,4,NA,4,5,5,NA,NA,4,6,6,4.666666667,9
5/22/1989,4,4,4,NA,4,5,5,NA,NA,4,6,7,4.777777778,9
5/23/1989,4,4,4,NA,4,4,4,NA,NA,4,6,6,4.444444444,9
5/24/1989,4,7,4,NA,7,7,7,NA,NA,5,7,6,6,9
5/25/1989,6,6,5,NA,6,6,6,NA,NA,6,7,6,6,9
5/26/1989,5,5,4,NA,5,5,6,NA,NA,5,6,6,5.222222222,9
5/27/1989,5,5,4,NA,5,5,6,NA,NA,5,6,7,5.333333333,9
5/28/1989,5,5,5,NA,5,5,6,NA,NA,5,7,7,5.555555556,9
5/29/1989,4,5,4,NA,4,5,5,NA,NA,5,6,6,4.888888889,9
5/30/1989,4,4,4,NA,4,5,5,NA,NA,4,5,6,4.555555556,9
5/31/1989,4,4,4,NA,4,5,5,NA,NA,5,5,5,4.555555556,9
6/1/1989,4,4,4,NA,4,5,5,NA,NA,4,5,5,4.444444444,9
6/2/1989,4,4,4,NA,4,5,5,NA,NA,4,6,5,4.555555556,9
6/3/1989,4,4,4,NA,4,5,5,NA,NA,4,5,5,4.444444444,9
6/4/1989,4,4,4,NA,4,4,5,NA,NA,4,5,5,4.333333333,9
6/5/1989,4,4,4,NA,4,4,5,NA,NA,4,4,5,4.222222222,9
6/6/1989,4,4,4,NA,4,4,5,NA,NA,4,5,5,4.333333333,9
6/7/1989,4,5,5,NA,4,5,6,NA,NA,5,5,5,4.888888889,9
6/8/1989,4,6,5,NA,5,6,6,NA,NA,5,5,5,5.222222222,9
6/9/1989,6,7,7,NA,6,7,7,NA,NA,6,7,6,6.555555556,9
6/10/1989,7,7,7,NA,7,7,7,NA,NA,7,7,7,7,9
6/11/1989,5,6,6,NA,6,6,6,NA,NA,6,6,6,5.888888889,9
6/12/1989,5,6,6,NA,5,5,6,NA,NA,5,6,6,5.555555556,9
6/13/1989,4,5,5,NA,5,5,6,NA,NA,5,6,5,5.111111111,9
6/14/1989,5,5,5,NA,5,5,6,NA,NA,5,6,5,5.222222222,9
6/15/1989,5,6,6,NA,6,6,6,NA,NA,5,7,6,5.888888889,9
6/16/1989,6,6,7,NA,6,6,7,NA,NA,7,7,6,6.444444444,9
6/17/1989,5,6,6,NA,6,6,6,NA,NA,6,6,6,5.888888889,9
6/18/1989,5,6,6,NA,6,5,6,NA,NA,5,6,6,5.666666667,9
6/19/1989,5,5,5,NA,6,5,6,NA,NA,5,5,5,5.222222222,9
6/20/1989,5,5,5,NA,5,5,6,NA,NA,5,5,5,5.111111111,9
6/21/1989,5,5,5,NA,5,5,6,NA,NA,5,6,6,5.333333333,9
6/22/1989,5,5,5,NA,5,5,6,NA,NA,5,5,6,5.222222222,9
6/23/1989,5,6,6,NA,5,5,6,NA,NA,5,6,5,5.444444444,9
6/24/1989,5,6,6,NA,6,6,6,NA,NA,5,5,5,5.555555556,9
6/25/1989,4,6,5,NA,5,5,6,NA,NA,4,5,5,5,9
6/26/1989,4,6,5,NA,5,5,6,NA,NA,4,5,5,5,9
6/27/1989,4,5,5,NA,5,5,5,NA,NA,4,5,5,4.777777778,9
6/28/1989,4,5,5,NA,4,4,5,NA,NA,4,4,5,4.444444444,9
6/29/1989,4,5,5,NA,4,4,5,NA,NA,4,4,4,4.333333333,9
6/30/1989,4,5,5,NA,4,4,5,NA,NA,4,4,4,4.333333333,9
7/1/1989,4,4,4,NA,4,4,5,NA,NA,4,4,4,4.111111111,9
7/2/1989,4,4,4,NA,4,4,5,NA,NA,4,4,4,4.111111111,9
7/3/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
7/4/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
7/5/1989,5,5,4,NA,4,4,6,NA,NA,7,6,5,5.111111111,9
7/6/1989,5,7,6,NA,4,4,7,NA,NA,7,6,5,5.666666667,9
7/7/1989,6,6,5,NA,4,5,6,NA,NA,6,5,5,5.333333333,9
7/8/1989,5,5,5,NA,4,6,6,NA,NA,5,5,5,5.111111111,9
7/9/1989,5,5,5,NA,4,5,6,NA,NA,5,5,4,4.888888889,9
7/10/1989,5,5,5,NA,4,6,6,NA,NA,6,5,4,5.111111111,9
7/11/1989,5,5,5,NA,5,7,6,NA,NA,7,5,5,5.555555556,9
7/12/1989,4,5,4,NA,5,5,6,NA,NA,6,4,4,4.777777778,9
7/13/1989,4,4,4,NA,4,5,5,NA,NA,5,4,4,4.333333333,9
7/14/1989,4,5,4,NA,4,4,5,NA,NA,5,4,4,4.333333333,9
7/15/1989,5,6,5,NA,4,4,5,NA,NA,6,4,4,4.777777778,9
7/16/1989,4,5,4,NA,4,5,5,NA,NA,5,4,4,4.444444444,9
7/17/1989,7,7,7,NA,5,6,7,NA,NA,7,6,5,6.333333333,9
7/18/1989,6,7,6,NA,4,6,7,NA,NA,6,5,5,5.777777778,9
7/19/1989,6,6,6,NA,4,5,6,NA,NA,5,5,5,5.333333333,9
7/20/1989,6,6,6,NA,4,5,6,NA,NA,6,5,4,5.333333333,9
7/21/1989,6,6,6,NA,5,6,6,NA,NA,6,5,4,5.555555556,9
7/22/1989,5,6,6,NA,5,5,6,NA,NA,5,5,4,5.222222222,9
7/23/1989,5,6,5,NA,4,5,6,NA,NA,5,5,4,5,9
7/24/1989,5,5,5,NA,4,4,5,NA,NA,5,4,4,4.555555556,9
7/25/1989,5,5,4,NA,4,4,5,NA,NA,5,4,4,4.444444444,9
7/26/1989,5,5,4,NA,4,4,5,NA,NA,5,4,4,4.444444444,9
7/27/1989,4,4,4,NA,4,4,5,NA,NA,4,4,4,4.111111111,9
7/28/1989,4,5,5,NA,4,5,5,NA,NA,4,4,4,4.444444444,9
7/29/1989,4,4,5,NA,4,4,5,NA,NA,5,4,4,4.333333333,9
7/30/1989,4,4,4,NA,4,4,5,NA,NA,5,4,4,4.222222222,9
7/31/1989,4,5,4,NA,4,4,5,NA,NA,5,4,4,4.333333333,9
8/1/1989,4,4,4,NA,4,4,5,NA,NA,5,4,4,4.222222222,9
8/2/1989,4,4,4,NA,4,4,5,NA,NA,5,4,4,4.222222222,9
8/3/1989,4,4,4,NA,4,4,4,NA,NA,5,4,4,4.111111111,9
8/4/1989,4,4,4,NA,4,4,4,NA,NA,5,4,4,4.111111111,9
8/5/1989,4,4,4,NA,4,4,4,NA,NA,5,4,4,4.111111111,9
8/6/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
8/7/1989,4,4,4,NA,4,4,4,NA,NA,5,4,4,4.111111111,9
8/8/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
8/9/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
8/10/1989,4,4,4,NA,4,4,4,NA,NA,4,4,3,3.888888889,9
8/11/1989,6,6,7,NA,5,6,6,NA,NA,7,5,4,5.777777778,9
8/12/1989,7,7,7,NA,6,6,7,NA,NA,7,7,6,6.666666667,9
8/13/1989,7,7,7,NA,6,6,7,NA,NA,7,7,7,6.777777778,9
8/14/1989,7,7,7,NA,6,6,6,NA,NA,7,6,7,6.555555556,9
8/15/1989,6,6,6,NA,6,6,6,NA,NA,6,5,6,5.888888889,9
8/16/1989,6,6,6,NA,5,5,6,NA,NA,6,5,5,5.555555556,9
8/17/1989,6,6,6,NA,5,5,6,NA,NA,6,5,5,5.555555556,9
8/18/1989,5,6,6,NA,5,4,6,NA,NA,6,5,4,5.222222222,9
8/19/1989,5,6,6,NA,5,4,6,NA,NA,5,5,4,5.111111111,9
8/20/1989,5,6,6,NA,5,4,5,NA,NA,5,5,5,5.111111111,9
8/21/1989,5,6,6,NA,4,4,5,NA,NA,5,5,4,4.888888889,9
8/22/1989,5,6,6,NA,5,4,6,NA,NA,5,4,4,5,9
8/23/1989,5,6,6,NA,4,4,6,NA,NA,5,4,4,4.888888889,9
8/24/1989,6,6,6,NA,4,4,5,NA,NA,5,4,4,4.888888889,9
8/25/1989,5,6,5,NA,4,4,5,NA,NA,5,4,4,4.666666667,9
8/26/1989,5,5,5,NA,4,4,5,NA,NA,5,4,4,4.555555556,9
8/27/1989,4,5,4,NA,4,4,5,NA,NA,5,4,4,4.333333333,9
8/28/1989,4,5,4,NA,4,4,5,NA,NA,5,4,4,4.333333333,9
8/29/1989,6,5,4,NA,4,4,5,NA,NA,5,4,4,4.555555556,9
8/30/1989,6,6,6,NA,4,5,6,NA,NA,5,4,4,5.111111111,9
8/31/1989,6,6,6,NA,4,5,6,NA,NA,6,4,4,5.222222222,9
9/1/1989,5,5,6,NA,4,4,6,NA,NA,6,4,4,4.888888889,9
9/2/1989,5,5,5,NA,4,4,5,NA,NA,5,4,4,4.555555556,9
9/3/1989,5,5,4,NA,4,4,5,NA,NA,5,4,4,4.444444444,9
9/4/1989,4,5,4,NA,4,4,5,NA,NA,5,4,4,4.333333333,9
9/5/1989,4,5,5,NA,4,4,5,NA,NA,5,4,4,4.444444444,9
9/6/1989,4,5,6,NA,4,4,5,NA,NA,5,4,4,4.555555556,9
9/7/1989,4,5,4,NA,4,4,5,NA,NA,5,4,4,4.333333333,9
9/8/1989,4,5,4,NA,4,4,5,NA,NA,5,4,4,4.333333333,9
9/9/1989,4,5,4,NA,4,4,5,NA,NA,5,4,4,4.333333333,9
9/10/1989,4,4,4,NA,4,4,5,NA,NA,5,4,4,4.222222222,9
9/11/1989,4,4,4,NA,4,4,5,NA,NA,5,4,4,4.222222222,9
9/12/1989,4,4,4,NA,4,4,5,NA,NA,4,4,4,4.111111111,9
9/13/1989,4,4,4,NA,4,4,4,NA,NA,4,4,3,3.888888889,9
9/14/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
9/15/1989,6,5,6,NA,5,6,6,NA,NA,5,5,5,5.444444444,9
9/16/1989,5,5,5,NA,4,5,5,NA,NA,5,4,4,4.666666667,9
9/17/1989,6,6,6,NA,4,5,6,NA,NA,6,4,4,5.222222222,9
9/18/1989,5,5,5,NA,4,4,5,NA,NA,5,4,4,4.555555556,9
9/19/1989,5,5,5,NA,4,5,5,NA,NA,6,5,4,4.888888889,9
9/20/1989,6,5,6,NA,5,6,6,NA,NA,6,5,5,5.555555556,9
9/21/1989,6,7,6,NA,6,6,6,NA,NA,6,5,6,6,9
9/22/1989,5,6,5,NA,5,6,6,NA,NA,5,5,5,5.333333333,9
9/23/1989,5,5,5,NA,6,6,5,NA,NA,5,4,5,5.111111111,9
9/24/1989,5,6,5,NA,5,6,5,NA,NA,5,4,5,5.111111111,9
9/25/1989,5,5,5,NA,5,5,5,NA,NA,5,4,5,4.888888889,9
9/26/1989,6,6,5,NA,6,6,6,NA,NA,5,4,5,5.444444444,9
9/27/1989,6,5,6,NA,6,5,5,NA,NA,5,4,4,5.111111111,9
9/28/1989,5,5,5,NA,5,5,5,NA,NA,4,4,4,4.666666667,9
9/29/1989,5,4,5,NA,4,4,4,NA,NA,4,4,4,4.222222222,9
9/30/1989,5,4,4,NA,4,4,4,NA,NA,4,4,4,4.111111111,9
10/1/1989,5,4,4,NA,4,4,4,NA,NA,5,4,4,4.222222222,9
10/2/1989,6,6,5,NA,6,6,5,NA,NA,6,6,5,5.666666667,9
10/3/1989,6,6,6,NA,6,6,6,NA,NA,6,5,5,5.777777778,9
10/4/1989,6,6,5,NA,5,5,6,NA,NA,6,5,4,5.333333333,9
10/5/1989,5,6,5,NA,5,5,5,NA,NA,5,4,4,4.888888889,9
10/6/1989,5,5,5,NA,5,5,5,NA,NA,5,4,4,4.777777778,9
10/7/1989,5,5,5,NA,4,4,5,NA,NA,5,4,4,4.555555556,9
10/8/1989,5,5,5,NA,4,4,5,NA,NA,5,4,4,4.555555556,9
10/9/1989,5,5,4,NA,4,4,5,NA,NA,5,4,4,4.444444444,9
10/10/1989,5,5,4,NA,4,4,5,NA,NA,4,4,4,4.333333333,9
10/11/1989,5,5,5,NA,5,6,5,NA,NA,5,4,4,4.888888889,9
10/12/1989,6,5,5,NA,5,5,5,NA,NA,5,4,4,4.888888889,9
10/13/1989,5,4,5,NA,4,4,5,NA,NA,5,4,4,4.444444444,9
10/14/1989,5,4,5,NA,4,4,5,NA,NA,5,4,4,4.444444444,9
10/15/1989,6,6,6,NA,5,6,6,NA,NA,5,4,4,5.333333333,9
10/16/1989,6,5,5,NA,5,5,6,NA,NA,5,4,4,5,9
10/17/1989,6,6,6,NA,6,6,6,NA,NA,6,6,5,5.888888889,9
10/18/1989,7,6,6,NA,6,6,6,NA,NA,7,6,6,6.222222222,9
10/19/1989,7,6,6,NA,6,6,6,NA,NA,6,5,6,6,9
10/20/1989,6,6,7,NA,7,6,6,NA,NA,6,6,6,6.222222222,9
10/21/1989,7,7,7,NA,7,7,7,NA,NA,7,7,7,7,9
10/22/1989,7,7,7,NA,6,6,7,NA,NA,7,6,7,6.666666667,9
10/23/1989,7,7,7,NA,6,6,7,NA,NA,7,6,6,6.555555556,9
10/24/1989,6,6,6,NA,5,5,6,NA,NA,6,5,6,5.666666667,9
10/25/1989,6,6,6,NA,5,5,6,NA,NA,5,5,5,5.444444444,9
10/26/1989,6,6,5,NA,5,5,6,NA,NA,5,5,5,5.333333333,9
10/27/1989,6,6,5,NA,5,5,6,NA,NA,5,5,5,5.333333333,9
10/28/1989,5,5,5,NA,5,5,5,NA,NA,4,5,5,4.888888889,9
10/29/1989,5,5,5,NA,4,5,5,NA,NA,4,4,4,4.555555556,9
10/30/1989,5,5,5,NA,4,5,5,NA,NA,4,5,4,4.666666667,9
10/31/1989,5,5,5,NA,5,5,6,NA,NA,5,6,5,5.222222222,9
11/1/1989,7,6,7,NA,7,6,6,NA,NA,6,7,6,6.444444444,9
11/2/1989,6,5,6,NA,5,5,6,NA,NA,5,6,6,5.555555556,9
11/3/1989,6,5,6,NA,5,5,6,NA,NA,5,6,6,5.555555556,9
11/4/1989,6,6,6,NA,5,5,6,NA,NA,6,6,6,5.777777778,9
11/5/1989,5,5,6,NA,4,5,6,NA,NA,5,6,6,5.333333333,9
11/6/1989,5,5,6,NA,4,5,6,NA,NA,5,5,5,5.111111111,9
11/7/1989,5,5,6,NA,4,5,5,NA,NA,5,5,6,5.111111111,9
11/8/1989,5,5,5,NA,4,5,5,NA,NA,5,5,5,4.888888889,9
11/9/1989,6,6,6,NA,5,6,5,NA,NA,5,6,5,5.555555556,9
11/10/1989,6,6,6,NA,5,6,6,NA,NA,5,5,5,5.555555556,9
11/11/1989,6,5,6,NA,5,5,6,NA,NA,5,5,5,5.333333333,9
11/12/1989,5,5,5,NA,4,5,5,NA,NA,5,5,5,4.888888889,9
11/13/1989,5,5,5,NA,4,5,5,NA,NA,4,4,4,4.555555556,9
11/14/1989,5,5,5,NA,4,4,5,NA,NA,4,4,5,4.555555556,9
11/15/1989,5,5,5,NA,4,5,5,NA,NA,5,5,5,4.888888889,9
11/16/1989,6,7,7,NA,7,7,7,NA,NA,6,6,6,6.555555556,9
11/17/1989,6,6,6,NA,6,6,6,NA,NA,5,5,5,5.666666667,9
11/18/1989,6,6,6,NA,6,5,6,NA,NA,5,5,5,5.555555556,9
11/19/1989,6,6,6,NA,5,5,6,NA,NA,5,5,5,5.444444444,9
11/20/1989,5,6,6,NA,5,5,6,NA,NA,4,5,4,5.111111111,9
11/21/1989,5,6,6,NA,4,5,5,NA,NA,4,4,5,4.888888889,9
11/22/1989,5,5,5,NA,4,4,5,NA,NA,4,4,4,4.444444444,9
11/23/1989,4,5,5,NA,4,4,5,NA,NA,4,4,4,4.333333333,9
11/24/1989,4,5,5,NA,4,4,5,NA,NA,4,4,4,4.333333333,9
11/25/1989,4,5,5,NA,4,4,5,NA,NA,4,4,4,4.333333333,9
11/26/1989,4,4,5,NA,4,4,5,NA,NA,4,4,4,4.222222222,9
11/27/1989,4,4,5,NA,4,4,5,NA,NA,4,4,4,4.222222222,9
11/28/1989,5,5,5,NA,4,5,5,NA,NA,5,5,4,4.777777778,9
11/29/1989,5,5,5,NA,4,4,5,NA,NA,5,4,4,4.555555556,9
11/30/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
12/1/1989,4,4,4,NA,4,4,4,NA,NA,4,4,4,4,9
