DrainID,Strahler,HydroID,StrMi,SqMi,0,1,2,3,4,5,6,Sum,Str_Drain
103004047,1,103004047,1.17,0.502258548,2,0,0,0,0,0,3,5,16139
103004060,1,103004060,0.08,0.02051653,0,0,0,0,0,0,3,3,16139
103001167,2,103001167,0.71,0.257917102,10,0,0,0,0,0,285,295,16139
103004337,2,103004337,0.58,0.120338315,29,4,32,0,17,0,0,82,14450
103004347,1,103004347,0.42,0.16,202,38,77,14,4,0,124,459,14450
103004410,2,103004410,1.92,0.451718741,4,0,0,0,0,0,0,4,14450
103004419,2,103004419,1.927208595,0.4517833077,2,0,0,0,0,0,0,2,14450
103005021,1,103005021,0.64,0.28,4,0,15,0,0,0,71,90,14450
103005491,1,103005491,0.83,0.44,367,7,243,113,0,226,294,1250,14450
103005497,2,103005497,5.97,2.639845035,46,9,77,0,0,118,60,310,14450
103005537,1,103005537,0.69,0.37,30,0,0,0,0,0,200,230,14450
103005589,1,103005589,0.85,0.48,35,0,49,0,0,0,238,322,14450
103005652,1,103005652,1.09,0.613873969,0,0,0,0,0,0,12,12,14450
103005660,1,103005660,1.11,0.615165288,0,0,0,0,0,0,2,2,14450
103005661,1,103005661,0.1,0.1,34,0,21,94,0,0,152,301,14450
103005685,1,103005685,0.13,0.2,119,6,190,30,0,171,63,579,14450
103005834,2,103005834,8.33255096,3.5832425032,11,0,0,0,0,6,0,17,14450
103005848,1,103005848,0.709725472,0.161758776,4,0,14,1,0,0,14,33,14450
103005851,2,103005851,3.785855523,2.0701523907,11,0,11,0,0,0,41,63,14450
103006016,1,103006016,0.09,0.04,23,0,19,31,0,58,0,131,14450
103006051,2,103006051,2.04,0.945374462,20,0,81,32,347,0,0,480,14450
103006199,3,103006199,5.529725472,1.756043369,64,8,23,0,1,0,0,96,14450
103006314,1,103006314,0.26,0.18,27,0,16,19,19,0,0,81,14450
103006355,1,103006355,0.008513699,0.01,26,0,19,0,0,0,0,45,14450
103006359,1,103006359,0.03,0.020742508,0,1,0,0,0,0,0,1,14450
103006498,3,103006498,8.33,2.95380812,5,0,0,0,0,0,31,36,14450
103006569,1,103006569,0.6,0.36,20,0,17,0,0,0,5,42,14450
103006723,1,103006723,0.27,0.03,1,0,0,0,0,0,38,39,14450
103006731,1,103006731,0.1,0.014075409,0,0,0,0,2,0,0,2,14450
103006819,1,103006819,0.57,0.431452738,13,0,15,0,0,0,0,28,14450
103006864,1,103006864,0.88,0.571452738,59,0,150,29,0,0,173,411,14450
103006919,3,103006919,14.664889758,5.5833213167,0,0,0,9,0,0,13,22,14450
103006920,4,103006920,22.882186556,7.6897004757,2,0,7,0,13,0,0,22,14450
103007033,1,103007033,1.26,0.303106914,1,0,0,0,4,0,0,5,14450
103007097,1,103007097,0.16,0.17,44,0,29,36,0,0,368,477,14450
103007128,3,103007128,20.009620481,8.7349031712,1,0,4,2,12,0,0,19,14450
103007175,1,103007175,0.07,0.15,266,8,120,0,44,0,0,438,14450
103007236,2,103007236,2.72,1.30955579,2,0,11,1,0,0,9,23,14450
103007255,3,103007255,18.407037272,5.880116194,50,0,48,0,0,131,0,229,14450
103007284,2,103007284,1.3,0.386714871,0,0,0,0,0,70,0,70,14450
103007345,1,103007345,1.46,0.614325925,123,1,266,130,0,0,873,1393,14450
103007374,1,103007374,0.53,0.1,58,2,46,14,19,0,0,139,14450
103007437,1,103007437,0.07,0.11,96,4,168,0,24,19,0,311,14450
103007443,3,103007443,18.652504467,7.5993259633,4,0,12,0,0,0,152,168,14450
103007522,2,103007522,0.64,0.245947824,9,0,15,6,0,26,0,56,14450
