STA_SEQ,locationNa,CountOfSam,MaxOfNomin,ylat,xlong,HydroID,NextDown,SqMi,CFPct_1985,CFPct_1990,CFPct_1995,CFPct_2002,CFPct_2006,CFPct_2010,CFPct_2015,DevPct_1985,DevPct_1990,DevPct_1995,DevPct_2002,DevPct_2006,DevPct_2010,DevPct_2015,CFPctDiff1985_1990,CFPctDiff1985_1995,CFPctDiff1985_2002,CFPctDiff1985_2006,CFPctDiff1985_2010,CFPctDiff1985_2015,DevPctDiff1985_1990,DevPctDiff1985_1995,DevPctDiff1985_2002,DevPctDiff1985_2006,DevPctDiff1985_2010,DevPctDiff1985_2015
15024,Wood Creek,2,1,41.6387,-73.2362,201493990,604482015,2.569355,0.434357542,0.424022346,0.413547486,0.406564246,0.412849162,0.403910615,0.408100559,0.069134078,0.069832402,0.070251397,0.070810056,0.070949721,0.071089385,0.071089385,-0.010335196,-0.020810056,-0.027793296,-0.02150838,-0.030446927,-0.026256983,0.000698324,0.001117319,0.001675978,0.001815643,0.001955307,0.001955307
20252,Shady Brook,1,0.5,41.499963,-72.444,201493853,201493902,0.881587,0.501218522,0.481722177,0.40698619,0.336718115,0.315190902,0.321283509,0.3245329,0.106823721,0.111291633,0.112916328,0.121039805,0.121852153,0.121852153,0.121852153,-0.019496345,-0.094232332,-0.164500407,-0.18602762,-0.179935013,-0.176685622,0.004467912,0.006092607,0.014216084,0.015028432,0.015028432,0.015028432
16299,Hunts brook,1,1,41.4293,-72.172,201494104,1007470249,2.786885,0.624967792,0.609894357,0.581808812,0.55990724,0.562999227,0.56222623,0.561324401,0.039036331,0.040711157,0.041741819,0.049085287,0.049858284,0.049987117,0.049987117,-0.015073435,-0.04315898,-0.065060552,-0.061968565,-0.062741562,-0.063643391,0.001674826,0.002705488,0.010048956,0.010821953,0.010950786,0.010950786
18671,Strongs Brook,1,0.5,41.445,-72.328,201494237,201494290,0.650505,0.729372937,0.728822882,0.713421342,0.727172717,0.727172717,0.727172717,0.712871287,0.017051705,0.01760176,0.01760176,0.018151815,0.018151815,0.018151815,0.020352035,-0.000550055,-0.015951595,-0.00220022,-0.00220022,-0.00220022,-0.01650165,0.000550055,0.000550055,0.00110011,0.00110011,0.00110011,0.00330033
16505,BIBLE ROCK BROOK,1,1,41.4975,-72.6064,201494232,604482546,2.324721,0.567550895,0.502159161,0.494447872,0.467458359,0.447254781,0.440777298,0.422887107,0.048118445,0.061227637,0.06184454,0.063386798,0.068013572,0.072794571,0.073411474,-0.065391734,-0.073103023,-0.100092536,-0.120296114,-0.126773597,-0.144663788,0.013109192,0.013726095,0.015268353,0.019895127,0.024676126,0.025293029
16331,Sumner Brook,2,1,41.4835,-72.6375,201494530,201494250,1.570664,0.582362349,0.548320768,0.532328079,0.525017135,0.525017135,0.517249257,0.519076993,0.060772218,0.067626228,0.068083162,0.068768563,0.068768563,0.072880969,0.073794837,-0.034041581,-0.05003427,-0.057345214,-0.057345214,-0.065113092,-0.063285356,0.00685401,0.007310944,0.007996345,0.007996345,0.012108751,0.013022619
16112,Hemlock Valley Brook,7,1,41.4283,-72.4226,201494712,604484168,3.194146,0.463250169,0.447516296,0.425039335,0.400314677,0.39008766,0.386940886,0.389300967,0.065857496,0.069566195,0.070802428,0.072825354,0.07529782,0.076084513,0.076421668,-0.015733873,-0.038210834,-0.062935492,-0.073162509,-0.076309283,-0.073949202,0.003708699,0.004944932,0.006967858,0.009440324,0.010227017,0.010564172
15501,Cedar Pond Brook,1,0.5,41.4119,-72.3128,201494614,604483873,2.587773,0.627445539,0.612598862,0.584848064,0.541834328,0.555709727,0.561121132,0.563757458,0.036076037,0.037602331,0.038573609,0.039406133,0.039683641,0.041764951,0.041764951,-0.014846677,-0.042597475,-0.085611211,-0.071735812,-0.066324407,-0.063688081,0.001526294,0.002497572,0.003330096,0.003607604,0.005688914,0.005688914
15020,Eightmile River,2,0.833333333,41.43,-72.3392,201494447,15112042653,44.445273,0.574032222,0.556646111,0.534530075,0.517168179,0.508216834,0.508676912,0.509387208,0.062933846,0.067889775,0.070488813,0.074314726,0.075251025,0.075509315,0.075759532,-0.017386111,-0.039502147,-0.056864043,-0.065815388,-0.06535531,-0.064645014,0.004955929,0.007554967,0.01138088,0.012317179,0.012575469,0.012825686
14187,Eightmile River,1,0.717391304,41.4312,-72.3376,201494411,7455274687,20.730334,0.639742413,0.629788634,0.604151159,0.585732339,0.578150155,0.57543234,0.576609483,0.058649402,0.060657469,0.064292762,0.067685703,0.069226375,0.069659148,0.069814946,-0.009953779,-0.035591254,-0.054010074,-0.061592258,-0.064310073,-0.06313293,0.002008067,0.00564336,0.009036301,0.010576973,0.011009746,0.011165544
15014,Clark Creek,1,0.5,41.4425,-72.4735,201494591,1410462081,2.802872,0.736114666,0.736626568,0.736114666,0.71499872,0.671103148,0.684668544,0.676606092,0.059124648,0.063987714,0.065139493,0.067443051,0.068338879,0.068338879,0.068466854,0.000511902,0,-0.021115946,-0.065011518,-0.051446122,-0.059508574,0.004863066,0.006014845,0.008318403,0.009214231,0.009214231,0.009342206
