STA_SEQ,CWFishYr1,SampYr1,SampYr2,CWFishYr2,FishDiff,YrDiff,y1Cold,y2Cold,ColdDiff,YrMax,YrMaxDiff,YrMaxColdDiff,CWFishMaxYr,CWFishMinYr,Dist
16416,47.12535344,2014,1994,32.66666667,14.45868677,20,1,1,2,2014,14.45868677,0,47.12535344,32.66666667,0.384615384615385
16431,263.2075472,2016,1991,4.705882353,258.501664847,25,1,0,1,2016,258.501664847,1,263.2075472,4.705882353,0.368421052631579
16498,0,2015,1992,12,12,23,0,1,1,2015,-12,-1,0,12,0.428571428571429
16502,37.86407767,2016,1988,11,26.86407767,28,1,1,2,2016,26.86407767,0,37.86407767,11,0.333333333333333
16512,10,2011,1989,6.542056075,3.457943925,22,1,0,1,2011,3.457943925,1,10,6.542056075,0.428571428571429
16528,101,2013,1990,101,0,23,1,1,2,2013,0,0,101,101,0.368421052631579
16535,61,2012,1989,96,35,23,1,1,2,2012,-35,0,61,96,0.333333333333333
16539,55,2017,1988,15,40,29,1,1,2,2017,40,0,55,15,0.272727272727273
16548,14,2016,1994,17,3,22,1,1,2,2016,-3,0,14,17,0.555555555555556
16565,0,2015,1994,300,300,21,0,1,1,2015,-300,-1,0,300,1
16581,0,2014,1994,10,10,20,0,1,1,2014,-10,-1,0,10,1
16583,8.421052632,2014,1990,19,10.578947368,24,0,1,1,2014,-10.578947368,-1,8.421052632,19,0.368421052631579
16594,25,2013,1993,190,165,20,1,1,2,2013,-165,0,25,190,0.285714285714286
16599,0,2015,1991,10,10,24,0,1,1,2015,-10,-1,0,10,0.8
16607,0,2015,1993,58,58,22,0,1,1,2015,-58,-1,0,58,0.636363636363636
16610,2.97029703,2015,1992,28,25.02970297,23,0,1,1,2015,-25.02970297,-1,2.97029703,28,0.25
16623,27.27272727,2013,1992,62,34.72727273,21,1,1,2,2013,-34.72727273,0,27.27272727,62,0.272727272727273
16645,10,2013,1993,52,42,20,1,1,2,2013,-42,0,10,52,0.2
16677,12,2014,1989,4,8,25,1,0,1,2014,8,1,12,4,0.090909090909091
16679,0,2014,1993,28,28,21,0,1,1,2014,-28,-1,0,28,0.272727272727273
16688,35.71428571,2011,1991,225,189.28571429,20,1,1,2,2011,-189.28571429,0,35.71428571,225,0.142857142857143
16692,0,2016,1993,28,28,23,0,1,1,2016,-28,-1,0,28,1
16693,23.30097087,2015,1991,1,22.30097087,24,1,0,1,2015,22.30097087,1,23.30097087,1,0.454545454545455
16696,15,2015,1991,101,86,24,1,1,2,2015,-86,0,15,101,0.333333333333333
16697,29.56521739,2018,1994,127.7777778,98.21256041,24,1,1,2,2018,-98.21256041,0,29.56521739,127.7777778,0
16699,5.825242718,2016,1994,68,62.174757282,22,0,1,1,2016,-62.174757282,-1,5.825242718,68,0.2
16714,10,2016,1992,16.98113208,6.98113208,24,1,1,2,2016,-6.98113208,0,10,16.98113208,0.454545454545455
16726,30,2016,1992,7,23,24,1,0,1,2016,23,1,30,7,0.5
16730,40,2013,1988,3,37,25,1,0,1,2013,37,1,40,3,0.428571428571429
16758,60,2012,1988,42.24137931,17.75862069,24,1,1,2,2012,17.75862069,0,60,42.24137931,0.454545454545455
16761,65,2013,1989,142,77,24,1,1,2,2013,-77,0,65,142,0.5
16786,32.98969072,2014,1993,184.8920863,151.90239558,21,1,1,2,2014,-151.90239558,0,32.98969072,184.8920863,0.111111111111111
16787,7,2016,1993,100,93,23,0,1,1,2016,-93,-1,7,100,0.5
16809,14,2016,1993,8,6,23,1,0,1,2016,6,1,14,8,0.333333333333333
16819,63.55140187,2014,1993,118,54.44859813,21,1,1,2,2014,-54.44859813,0,63.55140187,118,0.6
16836,19,2014,1993,94,75,21,1,1,2,2014,-75,0,19,94,0.259259259259259
16843,33.60655738,2015,1992,4.666666667,28.939890713,23,1,0,1,2015,28.939890713,1,33.60655738,4.666666667,0.230769230769231
16852,3.293084523,2014,1993,22.22222222,18.929137697,21,0,1,1,2014,-18.929137697,-1,3.293084523,22.22222222,0.176470588235294
16857,9.87654321,2015,1992,19,9.12345679,23,0,1,1,2015,-9.12345679,-1,9.87654321,19,0.3
16862,27.69230769,2016,1991,44,16.30769231,25,1,1,2,2016,-16.30769231,0,27.69230769,44,0.333333333333333
16863,18.0952381,2017,1991,201,182.9047619,26,1,1,2,2017,-182.9047619,0,18.0952381,201,0.333333333333333
16876,0,2013,1993,40,40,20,0,1,1,2013,-40,-1,0,40,1
16913,32,2010,1990,72,40,20,1,1,2,2010,-40,0,32,72,0.6
16921,4,2015,1991,22,18,24,0,1,1,2015,-18,-1,4,22,0.2
16926,2,2017,1993,20,18,24,0,1,1,2017,-18,-1,2,20,0
16928,0,2015,1993,58,58,22,0,1,1,2015,-58,-1,0,58,0.666666666666667
16933,100,2015,1988,92,8,27,1,1,2,2015,8,0,100,92,0
16944,0,2014,1994,15.17857143,15.17857143,20,0,1,1,2014,-15.17857143,-1,0,15.17857143,0.428571428571429
16965,1.666666667,2017,1992,106,104.333333333,25,0,1,1,2017,-104.333333333,-1,1.666666667,106,0.4
16972,27,2015,1991,60,33,24,1,1,2,2015,-33,0,27,60,0.428571428571429
17013,0,2014,1993,88,88,21,0,1,1,2014,-88,-1,0,88,1
17014,18.75,2017,1994,1,17.75,23,1,0,1,2017,17.75,1,18.75,1,0.6
17026,40,2014,1994,16,24,20,1,1,2,2014,24,0,40,16,0.5
17028,96,2014,1994,62,34,20,1,1,2,2014,34,0,96,62,0.2
17035,24,2016,1991,62,38,25,1,1,2,2016,-38,0,24,62,0.2
17088,70.90909091,2016,1988,118,47.09090909,28,1,1,2,2016,-47.09090909,0,70.90909091,118,0
17092,42,2015,1993,154,112,22,1,1,2,2015,-112,0,42,154,0.5
17112,0,2017,1994,128,128,23,0,1,1,2017,-128,-1,0,128,0.666666666666667
17120,0,2016,1991,22,22,25,0,1,1,2016,-22,-1,0,22,0.666666666666667
17125,2,2014,1991,59.33333333,57.33333333,23,0,1,1,2014,-57.33333333,-1,2,59.33333333,0.230769230769231
17130,0,2016,1991,42,42,25,0,1,1,2016,-42,-1,0,42,0.6
17133,30,2016,1991,60,30,25,1,1,2,2016,-30,0,30,60,0
17134,1.818181818,2016,1991,192,190.181818182,25,0,1,1,2016,-190.181818182,-1,1.818181818,192,0
17147,92.1875,2015,1992,88,4.1875,23,1,1,2,2015,4.1875,0,92.1875,88,0
17148,169.1358025,2014,1992,312,142.8641975,22,1,1,2,2014,-142.8641975,0,169.1358025,312,0.272727272727273
17157,0,2016,1992,50,50,24,0,1,1,2016,-50,-1,0,50,0.5
17167,24.66666667,2016,1992,16.66666667,8,24,1,1,2,2016,8,0,24.66666667,16.66666667,0.454545454545455
17169,33.01886792,2014,1993,114.4444444,81.42557648,21,1,1,2,2014,-81.42557648,0,33.01886792,114.4444444,0.294117647058824
17179,5.084745763,2015,1992,18,12.915254237,23,0,1,1,2015,-12.915254237,-1,5.084745763,18,0.272727272727273
17183,0,2014,1992,20,20,22,0,1,1,2014,-20,-1,0,20,1
17186,6,2012,1991,4.854368932,1.145631068,21,0,0,0,2012,1.145631068,0,6,4.854368932,0.444444444444444
17187,12.66666667,2017,1993,76,63.33333333,24,1,1,2,2017,-63.33333333,0,12.66666667,76,0.142857142857143
17193,9.230769231,2015,1991,15.33333333,6.102564099,24,0,1,1,2015,-6.102564099,-1,9.230769231,15.33333333,0.166666666666667
17201,0,2013,1993,17,17,20,0,1,1,2013,-17,-1,0,17,1
17215,13,2016,1993,25,12,23,1,1,2,2016,-12,0,13,25,0.076923076923077
