"","SID","Yr1","Yr2","Yr3","Y1Y3","Yr1Y2","Yr2Yr3","ColdYr1","ColdYr2","ColdYr3","ColdY1Y3","ColdYr1Y2","ColdYr2Yr3"
"88",16565,300,NA,0,-300,NA,NA,1,NA,0,-1,NA,NA
"89",16581,10,NA,0,-10,NA,NA,1,NA,0,-1,NA,NA
"90",16583,19,NA,8.421052632,-10.578947368,NA,NA,1,NA,0,-1,NA,NA
"91",16594,190,NA,71.27659574,-118.72340426,NA,NA,1,NA,1,0,NA,NA
"92",16595,96,NA,35.71428571,-60.28571429,NA,NA,1,NA,1,0,NA,NA
"93",16599,10,NA,0,-10,NA,NA,1,NA,0,-1,NA,NA
"94",16607,58,NA,0,-58,NA,NA,1,NA,0,-1,NA,NA
"95",16609,183,NA,94.64285714,-88.35714286,NA,NA,1,NA,1,0,NA,NA
"96",16610,28,NA,2.97029703,-25.02970297,NA,NA,1,NA,0,-1,NA,NA
"97",16623,62,NA,27.27272727,-34.72727273,NA,NA,1,NA,1,0,NA,NA
"98",16645,52,NA,10,-42,NA,NA,1,NA,1,0,NA,NA
"99",16661,16,NA,4,-12,NA,NA,1,NA,0,-1,NA,NA
"100",16668,18,NA,2,-16,NA,NA,1,NA,0,-1,NA,NA
"101",16677,4,NA,12,8,NA,NA,0,NA,1,1,NA,NA
"102",16679,28,NA,0,-28,NA,NA,1,NA,0,-1,NA,NA
"103",16688,225,NA,35.71428571,-189.28571429,NA,NA,1,NA,1,0,NA,NA
"104",16692,28,NA,0,-28,NA,NA,1,NA,0,-1,NA,NA
"105",16693,1,NA,23.30097087,22.30097087,NA,NA,0,NA,1,1,NA,NA
"106",16696,101,NA,15,-86,NA,NA,1,NA,1,0,NA,NA
"107",16697,127.7777778,NA,41.81818182,-85.95959598,NA,NA,1,NA,1,0,NA,NA
"108",16699,68,NA,5.825242718,-62.174757282,NA,NA,1,NA,0,-1,NA,NA
"110",16714,16.98113208,NA,10,-6.98113208,NA,NA,1,NA,1,0,NA,NA
"111",16726,7,NA,30,23,NA,NA,0,NA,1,1,NA,NA
"112",16730,3,NA,40,37,NA,NA,0,NA,1,1,NA,NA
"113",16731,195,NA,27.55905512,-167.44094488,NA,NA,1,NA,1,0,NA,NA
"114",16735,10,NA,0,-10,NA,NA,1,NA,0,-1,NA,NA
"115",16747,48,NA,4.6875,-43.3125,NA,NA,1,NA,0,-1,NA,NA
"116",16758,42.24137931,NA,60,17.75862069,NA,NA,1,NA,1,0,NA,NA
"117",16761,142,NA,65,-77,NA,NA,1,NA,1,0,NA,NA
"118",16786,184.8920863,NA,63.36633663,-121.52574967,NA,NA,1,NA,1,0,NA,NA
"119",16787,100,NA,7,-93,NA,NA,1,NA,0,-1,NA,NA
"120",16793,0,NA,50,50,NA,NA,0,NA,1,1,NA,NA
"121",16809,8,NA,14,6,NA,NA,0,NA,1,1,NA,NA
"122",16819,118,NA,105.7971014,-12.2028986,NA,NA,1,NA,1,0,NA,NA
"123",16831,144,NA,2,-142,NA,NA,1,NA,0,-1,NA,NA
"124",16836,94,NA,24,-70,NA,NA,1,NA,1,0,NA,NA
"125",16843,4.666666667,NA,33.60655738,28.939890713,NA,NA,0,NA,1,1,NA,NA
"126",16852,22.22222222,8.333333333,3.293084523,-18.929137697,-13.888888887,-5.04024881,1,0,0,-1,-1,0
"128",16857,19,NA,9.87654321,-9.12345679,NA,NA,1,NA,0,-1,NA,NA
"129",16862,44,NA,27.69230769,-16.30769231,NA,NA,1,NA,1,0,NA,NA
"130",16863,201,NA,18.0952381,-182.9047619,NA,NA,1,NA,1,0,NA,NA
"131",16876,40,NA,0,-40,NA,NA,1,NA,0,-1,NA,NA
"132",16879,16,NA,74,58,NA,NA,1,NA,1,0,NA,NA
"133",16898,116,NA,73,-43,NA,NA,1,NA,1,0,NA,NA
"134",16913,72,NA,32,-40,NA,NA,1,NA,1,0,NA,NA
"135",16921,22,NA,4,-18,NA,NA,1,NA,0,-1,NA,NA
"136",16922,22,100,15.55555556,-6.44444444,78,-84.44444444,1,1,1,0,0,0
"137",16926,20,16,2,-18,-4,-14,1,1,0,-1,0,-1
"138",16928,58,NA,0,-58,NA,NA,1,NA,0,-1,NA,NA
"139",16930,20,NA,1.459854015,-18.540145985,NA,NA,1,NA,0,-1,NA,NA
"140",16932,33,NA,31.06060606,-1.93939394,NA,NA,1,NA,1,0,NA,NA
"141",16933,92,NA,100,8,NA,NA,1,NA,1,0,NA,NA
"142",16944,15.17857143,NA,0,-15.17857143,NA,NA,1,NA,0,-1,NA,NA
"143",16965,106,NA,1.666666667,-104.333333333,NA,NA,1,NA,0,-1,NA,NA
"144",16967,0,NA,13.46153846,13.46153846,NA,NA,0,NA,1,1,NA,NA
"145",16972,60,NA,27,-33,NA,NA,1,NA,1,0,NA,NA
"146",16994,62,NA,26,-36,NA,NA,1,NA,1,0,NA,NA
"147",17000,148,NA,0,-148,NA,NA,1,NA,0,-1,NA,NA
"148",17013,88,NA,0,-88,NA,NA,1,NA,0,-1,NA,NA
"149",17014,1,0,18.75,17.75,-1,18.75,0,0,1,1,0,1
"150",17026,16,NA,40,24,NA,NA,1,NA,1,0,NA,NA
"151",17028,62,NA,96,34,NA,NA,1,NA,1,0,NA,NA
"152",17035,62,NA,24,-38,NA,NA,1,NA,1,0,NA,NA
"153",17088,118,NA,70.90909091,-47.09090909,NA,NA,1,NA,1,0,NA,NA
"154",17092,154,NA,42,-112,NA,NA,1,NA,1,0,NA,NA
"155",17112,128,NA,0,-128,NA,NA,1,NA,0,-1,NA,NA
"156",17120,22,NA,0,-22,NA,NA,1,NA,0,-1,NA,NA
"157",17125,59.33333333,NA,2,-57.33333333,NA,NA,1,NA,0,-1,NA,NA
"158",17129,24,NA,31.57894737,7.57894737,NA,NA,1,NA,1,0,NA,NA
"159",17130,42,NA,0,-42,NA,NA,1,NA,0,-1,NA,NA
"160",17133,60,NA,30,-30,NA,NA,1,NA,1,0,NA,NA
"161",17134,192,NA,1.818181818,-190.181818182,NA,NA,1,NA,0,-1,NA,NA
"162",17147,88,NA,92.1875,4.1875,NA,NA,1,NA,1,0,NA,NA
"163",17148,312,NA,169.1358025,-142.8641975,NA,NA,1,NA,1,0,NA,NA
"164",17151,57.14285714,NA,0,-57.14285714,NA,NA,1,NA,0,-1,NA,NA
"166",17157,50,NA,0,-50,NA,NA,1,NA,0,-1,NA,NA
"168",17167,16.66666667,NA,24.66666667,8,NA,NA,1,NA,1,0,NA,NA
"169",17169,114.4444444,NA,33.01886792,-81.42557648,NA,NA,1,NA,1,0,NA,NA
"170",17179,18,NA,5.084745763,-12.915254237,NA,NA,1,NA,0,-1,NA,NA
"171",17183,20,NA,0,-20,NA,NA,1,NA,0,-1,NA,NA
"172",17186,4.854368932,NA,11.33333333,6.478964398,NA,NA,0,NA,1,1,NA,NA
"173",17187,76,NA,12.66666667,-63.33333333,NA,NA,1,NA,1,0,NA,NA
"174",17188,17.33333333,NA,0,-17.33333333,NA,NA,1,NA,0,-1,NA,NA
"175",17193,15.33333333,NA,9.230769231,-6.102564099,NA,NA,1,NA,0,-1,NA,NA
"176",17201,17,NA,0,-17,NA,NA,1,NA,0,-1,NA,NA
"177",17215,25,NA,13,-12,NA,NA,1,NA,1,0,NA,NA
