HydroID,NextDown,SqMi,CFcount,CF_1985,CF_1990,CF_1995,CF_2002,CF_2006,CF_2015,CF_2010
201493653,201493693,0.486141,1358,0.25994109,0.25994109,0.259204713,0.217967599,0.187039764,0.176730486,0.175994109
201493860,201493896,0.486836,1358,0.06185567,0.023564065,0.022091311,0.01988218,0.01988218,0.023564065,0.005154639
201494150,201494165,0.487879,1358,0.588365243,0.586156112,0.588365243,0.553755523,0.519145803,0.464653903,0.487481591
201494684,201494582,0.485794,1358,0.733431517,0.739322533,0.740795287,0.717231222,0.729013255,0.738586156,0.738586156
201488995,201489037,0.487531,1359,0.91317145,0.91464312,0.909492274,0.908756439,0.904341428,0.909492274,0.908020603
201489041,201489076,0.487879,1359,0.118469463,0.118469463,0.081677704,0.115526122,0.077262693,0.077998528,0.077998528
201490765,201490613,0.487184,1359,0.649742458,0.643855776,0.641648271,0.626195732,0.607799853,0.61589404,0.615158205
201492727,201492821,0.486836,1359,0.286975717,0.270051508,0.253863135,0.258278146,0.228844739,0.235467255,0.230316409
201482919,201482965,0.488227,1360,0.383823529,0.355882353,0.363235294,0.313235294,0.308823529,0.306617647,0.308088235
201489383,201489444,0.488226,1360,0.509558824,0.463235294,0.471323529,0.416911765,0.390441176,0.389705882,0.395588235
201490795,201490820,0.488226,1360,0.5875,0.568382353,0.551470588,0.55,0.479411765,0.530147059,0.514705882
201492084,201492183,0.486836,1360,0.857352941,0.857352941,0.840441176,0.854411765,0.744852941,0.744852941,0.744852941
201495538,201495517,0.487532,1360,0.442647059,0.431617647,0.374264706,0.348529412,0.3125,0.216911765,0.247058824
201490112,201490038,0.489269,1361,0.316678913,0.264511389,0.239529758,0.243938281,0.246877296,0.248346804,0.248346804
201493320,201493217,0.490659,1361,0.393093314,0.380602498,0.36002939,0.382072006,0.37325496,0.302718589,0.37325496
