"Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","TimeP","N","5%","95%"
0,4.666666667,15.045766586,25.6919616247615,33.82352941,262.064690057,"5 Yrs",369,0.4855545018,86.1068950839999
0,12.89247312,30,49.9756527976705,65.740740741,451.53846154,"20-30 Yrs",173,3.124190016,166.601694332
0,10.162953102,22.750314805,38.829721982642,49.83333333325,238.98412698,"10-20 Yrs",162,1.7071391883,123.797391287
0,5.88429752,17.125,33.5506419189051,44,255.2518428,"5-10 Yrs",137,0.766889474199999,102.78154655
